ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10797,Westchester (D2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2566 West Mall,-123.249531,49.25748
VAD10798,Westchester (D3),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2562 West Mall,-123.249587,49.257549
VAD10799,Westchester (D4),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2560 West Mall,-123.249618,49.257586
VAD10451,Stirling House - Townhouse,Vancouver,V6T 0A4,BC,VBL10289,Residential,CanadaPost,6078 Iona Drive,-123.252416,49.270601
VAD11065,The Mews - Retail,Vancouver,V6S 0B1,BC,VBL10165,Commercial,CanadaPost,3353 Wesbrook Mall,-123.23535,49.254379
VAD10448,Stirling House - Townhouse,Vancouver,V6T 0A4,BC,VBL10289,Residential,CanadaPost,6082 Iona Drive,-123.252601,49.27052
VAD10733,Clement's Green,Vancouver,V6T 0A2,BC,VBL10143,NeighbourhoodBldg,CanadaPost,6268 Eagles Drive,-123.246081,49.258047
VAD10773,Sumac House,Vancouver,V6T 0C1,BC,VBL10041,NeighbourhoodBldg,CanadaPost,6395 Hawthorn Lane,-123.249923,49.258039
VAD10414,Somerset (H2),Vancouver,V6T 2K6,BC,VBL10147,Residential,CanadaPost,2610 West Mall,-123.248545,49.25627
VAD10060,The Mews - Retail,Vancouver,V6S 0B1,BC,VBL10165,Commercial,CanadaPost,3351 Wesbrook Mall,-123.235382,49.254418
VAD10485,Wyndham Hall,Vancouver,V6T 2H3,BC,VBL10293,NeighbourhoodBldg,CanadaPost,5683 Hampton Place,-123.233998,49.259364
VAD10039,Logan Lane (B12),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2539 East Mall,-123.245484,49.259132
VAD10136,Logan Lane (D11),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6240 Logan Lane,-123.24584,49.258814
VAD10113,Logan Lane (C12),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6222 Logan Lane,-123.246053,49.259157
VAD10115,Logan Lane (D15),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6232 Logan Lane,-123.245927,49.258919
VAD10122,Logan Lane (A6),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2571 East Mall,-123.245088,49.258668
VAD10076,The Mews - Retail,Vancouver,V6S 0B1,BC,VBL10165,Commercial,CanadaPost,3339 Wesbrook Mall,-123.235443,49.254476
VAD10554,Corus - Townhouse (5),Vancouver,V6T 0A9,BC,VBL10303,Residential,CanadaPost,5983 Walter Gage Road,-123.249182,49.270618
VAD10562,David Strangway - Retail,Vancouver,V6T 1Z3,BC,VBL10070,Commercial,CanadaPost,5940 University Boulevard,-123.245811,49.266108
VAD10395,Somerset (E1),Vancouver,V6T 2K5,BC,VBL10147,Residential,CanadaPost,6382 Larkin Drive,-123.248071,49.256508
VAD10407,Somerset (C2),Vancouver,V6T 2K5,BC,VBL10147,Residential,CanadaPost,6376 Larkin Drive,-123.247784,49.256314
VAD10411,Somerset (C1),Vancouver,V6T 2K5,BC,VBL10147,Residential,CanadaPost,6372 Larkin Drive,-123.247712,49.256432
VAD10555,Corus - Townhouse (6),Vancouver,V6T 0A9,BC,VBL10303,Residential,CanadaPost,5985 Walter Gage Road,-123.249238,49.270598
