BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10135,Eton - Highrise,ETN1,Complete,20190226,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,20,61.0833,22008,592,0,,,GISSTUD2,20190516182139,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.230561,49.25345
VBL10087,Aquatic Ecosystems Research Laboratory,AERL,Complete,20050826,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,6,19.33,5731,316,0,,,,,RACHELW,20221212194229,Unspecified,Fair,,UBC,B2,,-123.250977,49.26376
VBL10221,Michael Smith Laboratories,MSL,Complete,20040101,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,24.84,8477,083,1,,,,,RACHELW,20221212192308,Unspecified,Fair,,UBC,B2,,-123.250171,49.264577
VBL10137,Tapestry at Wesbrook Village - Building 1,TAP1,Complete,20100604,Housing,Commercial,UNA,Wesbrook,Private,Occupied,,Concrete,7,25.04722,14820,593-1,0,,new GBA taken from spreadsheet,GISSTUD2,20190514233927,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.235014,49.254742
VBL10182,Tapestry at Wesbrook Village - Building 2,TAP2,Complete,20100604,Housing,Commercial,UNA,Wesbrook,Private,Occupied,,Concrete,7,26.3973,4940,593-2,0,,new GBA taken from spreadsheet,GISSTUD2,20190514233927,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.234517,49.254147
VBL10183,Academy - Highrise,ACD1,Complete,20140107,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,20,59.87,12086,596,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232634,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.233051,49.255577
VBL10184,The Wesbrook - Highrise,WSB1,Complete,20090101,Housing,,UNA,Wesbrook,Private,Occupied,REAP Silver,Concrete,19,52.26,11612,594,0,,new GBA taken from spreadsheet,GISSTUD2,20190514231851,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.234509,49.255096
VBL10187,Sage - Highrise,SAG1,Complete,20110704,Housing,,UNA,Wesbrook,Private,Occupied,REAP Silver,Concrete,22,59.39326,12230,595,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232334,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.233708,49.255264
VBL10172,Sail - Building 1,SAL1,Complete,20130101,Housing,,UNA,Wesbrook,Private,Occupied,REAP Platinum,Wood,7,22.04939,8503,705,0,,new GBA taken from spreadsheet,RACHELW,20190513220022,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.235232,49.252238
VBL10188,Sage - Townhouses,SAG2,Complete,20110704,Housing,,UNA,Wesbrook,Private,Occupied,REAP Silver,Concrete,2,7.9658,1514,595,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232334,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.233501,49.254987
VBL10193,Fairview Crescent Residence - Building 1,FAR1,Complete,19850101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,13.32157,11023,007-35;007-34;007-33;007-32;007-31;007-30;007-29;007-28;007-27;007-26;007-10;007-07;007-06;007-05;007-04;007-09;007-08;007-03;007-02;007-01,1,,,GISSTUD2,20190606184915,RACHELW,20230110211725,Duplex/Townhouse,Poor,,UBC,B5,,-123.239653,49.26332
VBL10198,Fairview Crescent Residence - Building 2,FAR2,Complete,19850101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,4,11.60937,9047,007-25;007-24;007-23;007-22;007-21;007-20;007-19;007-18;007-17;007-16;007-15;007-14;007-13;007-12;007-11,0,,,GISSTUD2,20190606184915,RACHELW,20230110211725,Duplex/Townhouse,Poor,,UBC,B5,,-123.239796,49.263001
VBL10199,Academy - Townhouses,ACD2,Complete,20140107,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,2,6.92942,732,596,0,,new GBA taken from spreadsheet,GISSTUD2,20190514232634,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.232786,49.255183
VBL10210,Binning Tower - Highrise,BINH,Complete,20160505,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Concrete,23,57.4637,17684,598,0,,new GBA taken from spreadsheet,GISSTUD2,20190516172718,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.231374,49.255441
VBL10024,Power House,POWR,Complete,19250101,Operations,,UBC,Academic,UBC,Unoccupied,,Concrete,4,15.89002,2448,724;724-1;724-2;724-3;725,0,,,,,RACHELW,20221207183928,Unspecified,Critical,,UBC,B3,,-123.254802,49.26521
